artist,followers
Twenty One Pilots,24049763
Shawn Mendes,42663619
DJ Snake,8674867
John Legend,6634824
Maroon 5,41533638
French Montana,5252423
Lukas Graham,2145589
Sam Smith,23433333
Foster The People,3744668
Wiz Khalifa,11089912
Mark Ronson,1051075
Train,4279764
Capital Cities,880265
ZAYN,22812162
Kesha,7692484
Justin Timberlake,13542183
Backstreet Boys,5473672
Future,15631682
Flo Rida,8698846
Lauv,6087504
P!nk,16183759
Pitbull,10228647
Katy Perry,31075619
Paloma Faith,1218391
Gym Class Heroes,1458556
Calum Scott,5443771
Selena Gomez & The Scene,9461923
Kodaline,3012542
Lorde,9972052
NF,9360842
MKTO,1050836
Martin Garrix,15481053
PinkPantheress,2812192
Whitney Houston,9789140
Mac Miller,9894777
Bad Omens,1004994
(G)I-DLE,8204444
The 1975,7023430
boygenius,684216
AKMU,1545636
LE SSERAFIM,3957426
JISOO,2419341
Flo Milli,736495
Katya Lel,38468
Rio Romeo,250976
Lil Mabu,948731
Aliyah's Interlude,98646
Britney Manson,169655
SUICIDAL-IDOL,118437
Yamê,171705
Ocean Alley,515238
A$AP Rocky,13265622
G-Eazy,5199488
Frizk,44359
Amaarae,286825
Fat Joe,1725228
Tom Petty,2421750
BABYMONSTER,381990
Take Care,98257
Artemas,85601
Keyshia Cole,3742895
The Red Clay Strays,142164
Metric,792270
Father John Misty,786131
Wheatus,181696
The Romantics,399581
Dominic Fike,1466093
Megan Thee Stallion,8340943
Memphis Cult,122893
juju<3,77441
Videoclub,482315
Lil Yachty,9535638
Odetari,2046140
VØJ,136697
Playboi Carti,9567946
Montell Fish,1195294
Yeat,3875562
JVKE,3716577
Blackstreet,766328
Central Cee,4612131
Niall Horan,9851779
Coi Leray,695497
Anne-Marie,11524993
RAYE,1125697
Ellie Goulding,12343443
Black Eyed Peas,7868248
Oasis,9488250
Meghan Trainor,14371812
Corinne Bailey Rae,764605
Camila Cabello,32220942
Dennis Lloyd,661568
Metro Boomin,6562598
Britney Spears,13524329
Red Hot Chili Peppers,20347798
GAYLE,604018
2Pac,16918370
Nicky Youre,204789
Regard,232954
The Script,8016373
Ace of Base,739456
Dove Cameron,4622597
Counting Crows,1721264
CKay,1396539
Jaymes Young,912026
Elley Duhé,489622
Toploader,84308
Jay Sean,1760015
d4vd,2146402
Taio Cruz,2233677
Fugees,1331648
Libianca,396739
Kaliii,296901
Beach House,2038638
Dadju,5641072
Tatsuya Kitani,296476
Ryokuoushoku Shakai,909286
Lady Gaga,28801078
Madonna,7416117
Riar Saab,47526
Shubh,2560664
Chani Nattan,119094
Sidhu Moose Wala,27300117
Duki,9952830
Milo j,1970540
Young Miko,1954328
Dei V,326558
Jay Wheeler,3705407
Eladio Carrion,5768386
Arcángel,12973995
Gorillaz,11119935
Baby Keem,1970188
AC/DC,27752284
Journey,5292369
21 Savage,16116830
Benson Boone,807727
Russ,5008937
Powfu,1241823
James Hype,305031
Sleepy Hallow,1711867
24kGoldn,2145623
Mae Stephens,155006
beabadoobee,2940899
Internet Money,775917
Cardi B,22937741
Majestic,59361
Shouse,129855
blackbear,4905074
THE ANXIETY,165740
Ayra Starr,2287943
Lojay,346485
Ne-Yo,8459664
Led Zeppelin,13955154
Pink Floyd,19894884
Blue Öyster Cult,1501935
Nickelback,6597169
Jimmy Eat World,1488885
Kate Bush,1781129
The Offspring,5313014
Fleetwood Mac,10848233
Ghost,2898916
U2,11792620
The Beatles,26742836
Foo Fighters,11457548
The Rolling Stones,13592514
Muse,7699265
The Who,5246897
Denise Julia,249051
DEMI,75031
Luke Combs,9788705
Morgan Wallen,8062711
BØRNS,1225673
BANNERS,635975
Mark Ambor,194937
PUBLIC,218960
aespa,4373277
JENNIE,5051845
Stray Kids,13933774
TOMORROW X TOGETHER,9309300
TAEMIN,2903184
ENHYPEN,7422747
Massimo Pericolo,547663
Sfera Ebbasta,5883905
Boro,341631
Takagi & Ketra,499025
Marracash,2257917
Diljit Dosanjh,18584705
Meek Mill,7699822
Lil Baby,16293639
Migos,13635725
James Blunt,2892241
Evanescence,4209500
Nelly Furtado,3672931
Alicia Keys,11293672
3 Doors Down,4254905
The Calling,744909
The Fray,3989900
Avril Lavigne,10532485
Nelly,2609324
Carrie Underwood,5889797
My Chemical Romance,8139630
Plain White T's,1215675
Sean Kingston,3200884
Audioslave,4349243
Owl City,2366116
girl in red,6772622
Luis Miguel,14387711
Juanes,4615420
Alejandro Fernández,7323804
Franco De Vita,5138904
Ice Cube,7851789
Snoop Dogg,10825673
Dr. Dre,10980950
GROUPLOVE,1157037
Sublime,2667036
Cafuné,221099
Beach Weather,519745
Alan Walker,39284860
ATEEZ,3514151
310babii,39170
Offset,3465583
Tee Grizzley,3624341
DJ Khaled,10834512
Sheck Wes,1542467
Vancouver Sleep Clinic,377048
NLE Choppa,7351315
Lyrical Lemonade,66901
Sexyy Red,454875
LeeHi,1654866
Snow Patrol,2916740
Jason Mraz,7225021
MAGIC!,1310014
George Ezra,4138237
benny blanco,1102398
Rag'n'Bone Man,1756375
Khalid,16170050
Julia Michaels,5079597
Roxette,2122383
Vanessa Carlton,610491
Duncan Laurence,523353
gnash,1583697
The Lumineers,5299022
Kygo,8383273
Zedd,5949854
Robbie Williams,2810308
Passenger,3264811
Gotye,2252777
S3BZS,97519
Kordhell,1073028
Marnik,115403
Supermode,21824
Chris Jedi,2700425
TWISTED,59571
John Summit,206290
Dxrk ダーク,459989
TRASHXRL,97613
g3ox_em,118589
DVRST,432728
Slowboy,81744
